COUNTRY,YEAR,INDEX,VALUE
Belgium,2016,Cost of Living,75.4
Belgium,2016,Pollution,56.6
Belgium,2016,Purchasing Power,106.7
Belgium,2016,Quality of Life,162.3
Belgium,2016,Traffic Commute Time,36.2
Belgium,2017,Cost of Living,75.4
Belgium,2017,Pollution,48.9
Belgium,2017,Purchasing Power,91.0
Belgium,2017,Quality of Life,160.5
Belgium,2017,Traffic Commute Time,36.3
Belgium,2018,Cost of Living,83.3
Belgium,2018,Pollution,48.9
Belgium,2018,Purchasing Power,98.9
Belgium,2018,Quality of Life,164.0
Belgium,2018,Traffic Commute Time,34.6
Belgium,2019,Cost of Living,73.0
Belgium,2019,Pollution,49.9
Belgium,2019,Purchasing Power,95.1
Belgium,2019,Quality of Life,162.1
Belgium,2019,Traffic Commute Time,34.9
Belgium,2020,Cost of Living,71.8
Belgium,2020,Pollution,52.9
Belgium,2020,Purchasing Power,86.3
Belgium,2020,Quality of Life,153.5
Belgium,2020,Traffic Commute Time,36.1
Belgium,2021,Cost of Living,78.5
Belgium,2021,Pollution,50.3
Belgium,2021,Purchasing Power,76.5
Belgium,2021,Quality of Life,150.9
Belgium,2021,Traffic Commute Time,36.2
Belgium,2022,Cost of Living,72.6
Belgium,2022,Pollution,50.1
Belgium,2022,Purchasing Power,79.7
Belgium,2022,Quality of Life,151.9
Belgium,2022,Traffic Commute Time,36.9
Bulgaria,2014,Cost of Living,50.0
Bulgaria,2014,Pollution,66.7
Bulgaria,2014,Purchasing Power,37.4
Bulgaria,2014,Quality of Life,62.6
Bulgaria,2014,Traffic Commute Time,34.7
Bulgaria,2015,Cost of Living,43.6
Bulgaria,2015,Pollution,64.0
Bulgaria,2015,Purchasing Power,39.9
Bulgaria,2015,Quality of Life,68.3
Bulgaria,2015,Traffic Commute Time,33.4
Bulgaria,2016,Cost of Living,36.4
Bulgaria,2016,Pollution,60.4
Bulgaria,2016,Purchasing Power,59.2
Bulgaria,2016,Quality of Life,141.6
Bulgaria,2016,Traffic Commute Time,28.7
Bulgaria,2017,Cost of Living,36.5
Bulgaria,2017,Pollution,63.1
Bulgaria,2017,Purchasing Power,51.4
Bulgaria,2017,Quality of Life,138.2
Bulgaria,2017,Traffic Commute Time,27.9
Bulgaria,2018,Cost of Living,41.2
Bulgaria,2018,Pollution,63.0
Bulgaria,2018,Purchasing Power,54.4
Bulgaria,2018,Quality of Life,129.7
Bulgaria,2018,Traffic Commute Time,31.1
Bulgaria,2019,Cost of Living,37.2
Bulgaria,2019,Pollution,64.0
Bulgaria,2019,Purchasing Power,52.2
Bulgaria,2019,Quality of Life,130.6
Bulgaria,2019,Traffic Commute Time,28.8
Bulgaria,2020,Cost of Living,36.7
Bulgaria,2020,Pollution,65.3
Bulgaria,2020,Purchasing Power,49.4
Bulgaria,2020,Quality of Life,129.8
Bulgaria,2020,Traffic Commute Time,29.4
Bulgaria,2021,Cost of Living,40.9
Bulgaria,2021,Pollution,64.5
Bulgaria,2021,Purchasing Power,40.3
Bulgaria,2021,Quality of Life,126.3
Bulgaria,2021,Traffic Commute Time,29.4
Bulgaria,2022,Cost of Living,38.4
Bulgaria,2022,Pollution,64.3
Bulgaria,2022,Purchasing Power,46.0
Bulgaria,2022,Quality of Life,130.1
Bulgaria,2022,Traffic Commute Time,29.4
Croatia,2014,Cost of Living,69.0
Croatia,2014,Pollution,28.7
Croatia,2014,Purchasing Power,48.3
Croatia,2014,Quality of Life,108.7
Croatia,2014,Traffic Commute Time,33.4
Croatia,2015,Cost of Living,58.9
Croatia,2015,Pollution,32.8
Croatia,2015,Purchasing Power,50.5
Croatia,2015,Quality of Life,112.3
Croatia,2015,Traffic Commute Time,30.5
Croatia,2016,Cost of Living,48.2
Croatia,2016,Pollution,30.4
Croatia,2016,Purchasing Power,67.9
Croatia,2016,Quality of Life,172.4
Croatia,2016,Traffic Commute Time,30.0
Croatia,2017,Cost of Living,48.0
Croatia,2017,Pollution,33.3
Croatia,2017,Purchasing Power,60.7
Croatia,2017,Quality of Life,170.6
Croatia,2017,Traffic Commute Time,28.5
Croatia,2018,Cost of Living,55.1
Croatia,2018,Pollution,32.7
Croatia,2018,Purchasing Power,59.8
Croatia,2018,Quality of Life,162.4
Croatia,2018,Traffic Commute Time,29.5
Croatia,2019,Cost of Living,49.2
Croatia,2019,Pollution,31.0
Croatia,2019,Purchasing Power,60.3
Croatia,2019,Quality of Life,165.3
Croatia,2019,Traffic Commute Time,29.1
Croatia,2020,Cost of Living,49.7
Croatia,2020,Pollution,30.5
Croatia,2020,Purchasing Power,50.4
Croatia,2020,Quality of Life,159.0
Croatia,2020,Traffic Commute Time,29.1
Croatia,2021,Cost of Living,56.4
Croatia,2021,Pollution,30.6
Croatia,2021,Purchasing Power,43.1
Croatia,2021,Quality of Life,156.1
Croatia,2021,Traffic Commute Time,28.1
Croatia,2022,Cost of Living,48.9
Croatia,2022,Pollution,31.2
Croatia,2022,Purchasing Power,47.5
Croatia,2022,Quality of Life,159.2
Croatia,2022,Traffic Commute Time,26.9
Cyprus,2014,Cost of Living,65.7
Cyprus,2014,Pollution,37.2
Cyprus,2014,Purchasing Power,89.1
Cyprus,2014,Quality of Life,164.1
Cyprus,2014,Traffic Commute Time,18.3
Cyprus,2015,Cost of Living,72.5
Cyprus,2015,Pollution,32.9
Cyprus,2015,Purchasing Power,71.0
Cyprus,2015,Quality of Life,154.9
Cyprus,2015,Traffic Commute Time,19.0
Cyprus,2016,Cost of Living,63.6
Cyprus,2016,Pollution,42.9
Cyprus,2016,Purchasing Power,80.7
Cyprus,2016,Quality of Life,159.7
Cyprus,2016,Traffic Commute Time,19.6
Cyprus,2017,Cost of Living,54.1
Cyprus,2017,Pollution,54.8
Cyprus,2017,Purchasing Power,95.9
Cyprus,2017,Quality of Life,166.6
Cyprus,2017,Traffic Commute Time,20.3
Cyprus,2018,Cost of Living,61.6
Cyprus,2018,Pollution,48.6
Cyprus,2018,Purchasing Power,72.4
Cyprus,2018,Quality of Life,155.3
Cyprus,2018,Traffic Commute Time,21.0
Cyprus,2019,Cost of Living,55.6
Cyprus,2019,Pollution,53.8
Cyprus,2019,Purchasing Power,75.3
Cyprus,2019,Quality of Life,157.6
Cyprus,2019,Traffic Commute Time,20.3
Cyprus,2020,Cost of Living,57.9
Cyprus,2020,Pollution,53.6
Cyprus,2020,Purchasing Power,57.4
Cyprus,2020,Quality of Life,147.9
Cyprus,2020,Traffic Commute Time,24.0
Cyprus,2021,Cost of Living,64.0
Cyprus,2021,Pollution,56.8
Cyprus,2021,Purchasing Power,52.3
Cyprus,2021,Quality of Life,144.1
Cyprus,2021,Traffic Commute Time,23.4
Cyprus,2022,Cost of Living,59.0
Cyprus,2022,Pollution,56.9
Cyprus,2022,Purchasing Power,57.3
Cyprus,2022,Quality of Life,147.1
Cyprus,2022,Traffic Commute Time,22.9
Czechia,2014,Cost of Living,56.6
Czechia,2014,Pollution,38.3
Czechia,2014,Purchasing Power,62.3
Czechia,2014,Quality of Life,123.0
Czechia,2014,Traffic Commute Time,33.1
Czechia,2015,Cost of Living,48.5
Czechia,2015,Pollution,42.9
Czechia,2015,Purchasing Power,68.1
Czechia,2015,Quality of Life,127.5
Czechia,2015,Traffic Commute Time,31.5
Czechia,2016,Cost of Living,41.8
Czechia,2016,Pollution,42.5
Czechia,2016,Purchasing Power,90.0
Czechia,2016,Quality of Life,167.4
Czechia,2016,Traffic Commute Time,32.5
Czechia,2017,Cost of Living,41.2
Czechia,2017,Pollution,41.0
Czechia,2017,Purchasing Power,76.2
Czechia,2017,Quality of Life,165.4
Czechia,2017,Traffic Commute Time,32.0
Czechia,2018,Cost of Living,50.1
Czechia,2018,Pollution,41.0
Czechia,2018,Purchasing Power,76.3
Czechia,2018,Quality of Life,162.0
Czechia,2018,Traffic Commute Time,30.3
Czechia,2019,Cost of Living,45.1
Czechia,2019,Pollution,41.0
Czechia,2019,Purchasing Power,71.3
Czechia,2019,Quality of Life,158.8
Czechia,2019,Traffic Commute Time,30.0
Czechia,2020,Cost of Living,46.1
Czechia,2020,Pollution,40.2
Czechia,2020,Purchasing Power,62.8
Czechia,2020,Quality of Life,156.2
Czechia,2020,Traffic Commute Time,29.7
Czechia,2021,Cost of Living,49.2
Czechia,2021,Pollution,36.3
Czechia,2021,Purchasing Power,56.4
Czechia,2021,Quality of Life,156.3
Czechia,2021,Traffic Commute Time,29.7
Czechia,2022,Cost of Living,48.2
Czechia,2022,Pollution,35.9
Czechia,2022,Purchasing Power,66.5
Czechia,2022,Quality of Life,162.6
Czechia,2022,Traffic Commute Time,29.5
Denmark,2014,Cost of Living,114.9
Denmark,2014,Pollution,34.8
Denmark,2014,Purchasing Power,100.7
Denmark,2014,Quality of Life,178.6
Denmark,2014,Traffic Commute Time,25.0
Denmark,2015,Cost of Living,100.6
Denmark,2015,Pollution,31.8
Denmark,2015,Purchasing Power,105.7
Denmark,2015,Quality of Life,190.2
Denmark,2015,Traffic Commute Time,27.8
Denmark,2016,Cost of Living,84.9
Denmark,2016,Pollution,29.9
Denmark,2016,Purchasing Power,142.1
Denmark,2016,Quality of Life,206.5
Denmark,2016,Traffic Commute Time,25.6
Denmark,2017,Cost of Living,83.0
Denmark,2017,Pollution,26.0
Denmark,2017,Purchasing Power,98.8
Denmark,2017,Quality of Life,184.9
Denmark,2017,Traffic Commute Time,28.4
Denmark,2018,Cost of Living,93.3
Denmark,2018,Pollution,23.6
Denmark,2018,Purchasing Power,117.5
Denmark,2018,Quality of Life,197.7
Denmark,2018,Traffic Commute Time,28.5
Denmark,2019,Cost of Living,81.4
Denmark,2019,Pollution,22.1
Denmark,2019,Purchasing Power,114.4
Denmark,2019,Quality of Life,198.6
Denmark,2019,Traffic Commute Time,28.5
Denmark,2020,Cost of Living,83.0
Denmark,2020,Pollution,21.3
Denmark,2020,Purchasing Power,100.9
Denmark,2020,Quality of Life,192.7
Denmark,2020,Traffic Commute Time,28.8
Denmark,2021,Cost of Living,91.7
Denmark,2021,Pollution,20.4
Denmark,2021,Purchasing Power,94.7
Denmark,2021,Quality of Life,190.0
Denmark,2021,Traffic Commute Time,28.7
Denmark,2022,Cost of Living,84.1
Denmark,2022,Pollution,21.0
Denmark,2022,Purchasing Power,99.5
Denmark,2022,Quality of Life,192.4
Denmark,2022,Traffic Commute Time,28.5
Estonia,2014,Cost of Living,67.3
Estonia,2014,Pollution,13.4
Estonia,2014,Purchasing Power,48.7
Estonia,2014,Quality of Life,145.4
Estonia,2014,Traffic Commute Time,24.7
Estonia,2015,Cost of Living,61.2
Estonia,2015,Pollution,15.5
Estonia,2015,Purchasing Power,51.4
Estonia,2015,Quality of Life,144.6
Estonia,2015,Traffic Commute Time,22.4
Estonia,2016,Cost of Living,59.1
Estonia,2016,Pollution,15.9
Estonia,2016,Purchasing Power,60.0
Estonia,2016,Quality of Life,158.6
Estonia,2016,Traffic Commute Time,25.6
Estonia,2017,Cost of Living,49.5
Estonia,2017,Pollution,17.7
Estonia,2017,Purchasing Power,68.5
Estonia,2017,Quality of Life,171.1
Estonia,2017,Traffic Commute Time,26.7
Estonia,2018,Cost of Living,57.6
Estonia,2018,Pollution,17.2
Estonia,2018,Purchasing Power,74.8
Estonia,2018,Quality of Life,176.4
Estonia,2018,Traffic Commute Time,32.7
Estonia,2019,Cost of Living,51.0
Estonia,2019,Pollution,18.1
Estonia,2019,Purchasing Power,76.0
Estonia,2019,Quality of Life,180.9
Estonia,2019,Traffic Commute Time,25.7
Estonia,2020,Cost of Living,50.9
Estonia,2020,Pollution,19.8
Estonia,2020,Purchasing Power,71.3
Estonia,2020,Quality of Life,177.8
Estonia,2020,Traffic Commute Time,24.5
Estonia,2021,Cost of Living,56.5
Estonia,2021,Pollution,19.0
Estonia,2021,Purchasing Power,61.2
Estonia,2021,Quality of Life,173.6
Estonia,2021,Traffic Commute Time,24.7
Estonia,2022,Cost of Living,53.7
Estonia,2022,Pollution,19.7
Estonia,2022,Purchasing Power,63.5
Estonia,2022,Quality of Life,174.2
Estonia,2022,Traffic Commute Time,24.5
Finland,2014,Cost of Living,103.3
Finland,2014,Pollution,16.7
Finland,2014,Purchasing Power,97.9
Finland,2014,Quality of Life,178.9
Finland,2014,Traffic Commute Time,37.0
Finland,2015,Cost of Living,89.7
Finland,2015,Pollution,14.9
Finland,2015,Purchasing Power,101.2
Finland,2015,Quality of Life,190.2
Finland,2015,Traffic Commute Time,33.2
Finland,2016,Cost of Living,75.2
Finland,2016,Pollution,17.8
Finland,2016,Purchasing Power,132.9
Finland,2016,Quality of Life,184.0
Finland,2016,Traffic Commute Time,32.9
Finland,2017,Cost of Living,73.1
Finland,2017,Pollution,13.4
Finland,2017,Purchasing Power,115.0
Finland,2017,Quality of Life,182.9
Finland,2017,Traffic Commute Time,34.9
Finland,2018,Cost of Living,81.7
Finland,2018,Pollution,12.1
Finland,2018,Purchasing Power,119.4
Finland,2018,Quality of Life,195.3
Finland,2018,Traffic Commute Time,33.2
Finland,2019,Cost of Living,72.8
Finland,2019,Pollution,11.9
Finland,2019,Purchasing Power,112.3
Finland,2019,Quality of Life,194.0
Finland,2019,Traffic Commute Time,30.4
Finland,2020,Cost of Living,70.3
Finland,2020,Pollution,11.5
Finland,2020,Purchasing Power,99.9
Finland,2020,Quality of Life,190.2
Finland,2020,Traffic Commute Time,29.9
Finland,2021,Cost of Living,77.5
Finland,2021,Pollution,11.9
Finland,2021,Purchasing Power,89.1
Finland,2021,Quality of Life,182.8
Finland,2021,Traffic Commute Time,29.0
Finland,2022,Cost of Living,73.2
Finland,2022,Pollution,12.1
Finland,2022,Purchasing Power,91.0
Finland,2022,Quality of Life,185.0
Finland,2022,Traffic Commute Time,27.8
France,2014,Cost of Living,100.2
France,2014,Pollution,46.9
France,2014,Purchasing Power,92.3
France,2014,Quality of Life,136.3
France,2014,Traffic Commute Time,28.1
France,2015,Cost of Living,88.4
France,2015,Pollution,45.9
France,2015,Purchasing Power,92.6
France,2015,Quality of Life,139.3
France,2015,Traffic Commute Time,28.6
France,2016,Cost of Living,75.3
France,2016,Pollution,46.3
France,2016,Purchasing Power,118.5
France,2016,Quality of Life,173.6
France,2016,Traffic Commute Time,32.0
France,2017,Cost of Living,74.9
France,2017,Pollution,40.2
France,2017,Purchasing Power,87.3
France,2017,Quality of Life,160.3
France,2017,Traffic Commute Time,35.8
France,2018,Cost of Living,83.9
France,2018,Pollution,40.4
France,2018,Purchasing Power,101.2
France,2018,Quality of Life,166.2
France,2018,Traffic Commute Time,35.0
France,2019,Cost of Living,74.9
France,2019,Pollution,42.7
France,2019,Purchasing Power,91.6
France,2019,Quality of Life,157.8
France,2019,Traffic Commute Time,35.3
France,2020,Cost of Living,74.1
France,2020,Pollution,43.6
France,2020,Purchasing Power,80.4
France,2020,Quality of Life,153.9
France,2020,Traffic Commute Time,34.8
France,2021,Cost of Living,80.6
France,2021,Pollution,41.8
France,2021,Purchasing Power,74.1
France,2021,Quality of Life,150.7
France,2021,Traffic Commute Time,34.5
France,2022,Cost of Living,74.1
France,2022,Pollution,42.4
France,2022,Purchasing Power,85.4
France,2022,Quality of Life,156.7
France,2022,Traffic Commute Time,35.2
Germany,2014,Cost of Living,87.1
Germany,2014,Pollution,30.2
Germany,2014,Purchasing Power,112.3
Germany,2014,Quality of Life,192.7
Germany,2014,Traffic Commute Time,36.1
Germany,2015,Cost of Living,76.3
Germany,2015,Pollution,28.3
Germany,2015,Purchasing Power,111.8
Germany,2015,Quality of Life,195.9
Germany,2015,Traffic Commute Time,31.1
Germany,2016,Cost of Living,65.5
Germany,2016,Pollution,29.9
Germany,2016,Purchasing Power,147.6
Germany,2016,Quality of Life,199.7
Germany,2016,Traffic Commute Time,29.1
Germany,2017,Cost of Living,65.5
Germany,2017,Pollution,27.1
Germany,2017,Purchasing Power,124.9
Germany,2017,Quality of Life,189.7
Germany,2017,Traffic Commute Time,30.6
Germany,2018,Cost of Living,74.3
Germany,2018,Pollution,27.3
Germany,2018,Purchasing Power,125.0
Germany,2018,Quality of Life,190.0
Germany,2018,Traffic Commute Time,31.3
Germany,2019,Cost of Living,67.6
Germany,2019,Pollution,28.0
Germany,2019,Purchasing Power,116.2
Germany,2019,Quality of Life,187.0
Germany,2019,Traffic Commute Time,29.9
Germany,2020,Cost of Living,65.3
Germany,2020,Pollution,29.0
Germany,2020,Purchasing Power,102.4
Germany,2020,Quality of Life,179.8
Germany,2020,Traffic Commute Time,31.0
Germany,2021,Cost of Living,70.6
Germany,2021,Pollution,27.5
Germany,2021,Purchasing Power,93.7
Germany,2021,Quality of Life,176.8
Germany,2021,Traffic Commute Time,31.4
Germany,2022,Cost of Living,65.6
Germany,2022,Pollution,27.8
Germany,2022,Purchasing Power,103.1
Germany,2022,Quality of Life,180.3
Germany,2022,Traffic Commute Time,31.1
Greece,2014,Cost of Living,83.8
Greece,2014,Pollution,45.3
Greece,2014,Purchasing Power,44.3
Greece,2014,Quality of Life,77.5
Greece,2014,Traffic Commute Time,37.0
Greece,2015,Cost of Living,68.9
Greece,2015,Pollution,44.9
Greece,2015,Purchasing Power,51.9
Greece,2015,Quality of Life,94.7
Greece,2015,Traffic Commute Time,33.2
Greece,2016,Cost of Living,54.4
Greece,2016,Pollution,47.2
Greece,2016,Purchasing Power,79.3
Greece,2016,Quality of Life,165.4
Greece,2016,Traffic Commute Time,29.1
Greece,2017,Cost of Living,55.9
Greece,2017,Pollution,52.0
Greece,2017,Purchasing Power,58.2
Greece,2017,Quality of Life,148.3
Greece,2017,Traffic Commute Time,31.6
Greece,2018,Cost of Living,63.2
Greece,2018,Pollution,52.8
Greece,2018,Purchasing Power,53.8
Greece,2018,Quality of Life,137.4
Greece,2018,Traffic Commute Time,32.2
Greece,2019,Cost of Living,56.7
Greece,2019,Pollution,51.9
Greece,2019,Purchasing Power,49.6
Greece,2019,Quality of Life,137.8
Greece,2019,Traffic Commute Time,32.2
Greece,2020,Cost of Living,55.7
Greece,2020,Pollution,52.5
Greece,2020,Purchasing Power,43.7
Greece,2020,Quality of Life,133.1
Greece,2020,Traffic Commute Time,33.8
Greece,2021,Cost of Living,61.0
Greece,2021,Pollution,51.9
Greece,2021,Purchasing Power,38.9
Greece,2021,Quality of Life,129.9
Greece,2021,Traffic Commute Time,33.9
Greece,2022,Cost of Living,56.2
Greece,2022,Pollution,51.9
Greece,2022,Purchasing Power,39.7
Greece,2022,Quality of Life,129.2
Greece,2022,Traffic Commute Time,33.8
Hungary,2014,Cost of Living,59.3
Hungary,2014,Pollution,48.3
Hungary,2014,Purchasing Power,44.9
Hungary,2014,Quality of Life,83.2
Hungary,2014,Traffic Commute Time,34.8
Hungary,2015,Cost of Living,48.9
Hungary,2015,Pollution,46.3
Hungary,2015,Purchasing Power,46.9
Hungary,2015,Quality of Life,93.1
Hungary,2015,Traffic Commute Time,30.1
Hungary,2016,Cost of Living,41.3
Hungary,2016,Pollution,46.7
Hungary,2016,Purchasing Power,56.3
Hungary,2016,Quality of Life,140.7
Hungary,2016,Traffic Commute Time,31.8
Hungary,2017,Cost of Living,42.8
Hungary,2017,Pollution,44.0
Hungary,2017,Purchasing Power,47.5
Hungary,2017,Quality of Life,138.8
Hungary,2017,Traffic Commute Time,33.1
Hungary,2018,Cost of Living,48.6
Hungary,2018,Pollution,46.6
Hungary,2018,Purchasing Power,50.6
Hungary,2018,Quality of Life,132.3
Hungary,2018,Traffic Commute Time,34.1
Hungary,2019,Cost of Living,42.0
Hungary,2019,Pollution,46.5
Hungary,2019,Purchasing Power,54.7
Hungary,2019,Quality of Life,134.5
Hungary,2019,Traffic Commute Time,35.2
Hungary,2020,Cost of Living,40.9
Hungary,2020,Pollution,48.3
Hungary,2020,Purchasing Power,47.6
Hungary,2020,Quality of Life,128.2
Hungary,2020,Traffic Commute Time,35.8
Hungary,2021,Cost of Living,42.7
Hungary,2021,Pollution,47.8
Hungary,2021,Purchasing Power,49.8
Hungary,2021,Quality of Life,134.0
Hungary,2021,Traffic Commute Time,35.8
Hungary,2022,Cost of Living,40.7
Hungary,2022,Pollution,47.9
Hungary,2022,Purchasing Power,52.0
Hungary,2022,Quality of Life,137.1
Hungary,2022,Traffic Commute Time,35.5
Ireland,2014,Cost of Living,106.6
Ireland,2014,Pollution,29.3
Ireland,2014,Purchasing Power,94.6
Ireland,2014,Quality of Life,142.4
Ireland,2014,Traffic Commute Time,22.5
Ireland,2015,Cost of Living,92.1
Ireland,2015,Pollution,28.0
Ireland,2015,Purchasing Power,95.7
Ireland,2015,Quality of Life,148.9
Ireland,2015,Traffic Commute Time,32.6
Ireland,2016,Cost of Living,78.0
Ireland,2016,Pollution,30.8
Ireland,2016,Purchasing Power,125.7
Ireland,2016,Quality of Life,171.9
Ireland,2016,Traffic Commute Time,32.3
Ireland,2017,Cost of Living,77.0
Ireland,2017,Pollution,27.2
Ireland,2017,Purchasing Power,103.5
Ireland,2017,Quality of Life,166.9
Ireland,2017,Traffic Commute Time,35.0
Ireland,2018,Cost of Living,85.4
Ireland,2018,Pollution,28.7
Ireland,2018,Purchasing Power,96.1
Ireland,2018,Quality of Life,163.5
Ireland,2018,Traffic Commute Time,37.5
Ireland,2019,Cost of Living,75.3
Ireland,2019,Pollution,31.1
Ireland,2019,Purchasing Power,95.1
Ireland,2019,Quality of Life,160.8
Ireland,2019,Traffic Commute Time,35.8
Ireland,2020,Cost of Living,75.9
Ireland,2020,Pollution,34.0
Ireland,2020,Purchasing Power,80.9
Ireland,2020,Quality of Life,153.5
Ireland,2020,Traffic Commute Time,37.7
Ireland,2021,Cost of Living,83.1
Ireland,2021,Pollution,33.6
Ireland,2021,Purchasing Power,73.8
Ireland,2021,Quality of Life,150.9
Ireland,2021,Traffic Commute Time,37.7
Ireland,2022,Cost of Living,76.1
Ireland,2022,Pollution,34.8
Ireland,2022,Purchasing Power,82.3
Ireland,2022,Quality of Life,154.5
Ireland,2022,Traffic Commute Time,37.9
Italy,2014,Cost of Living,96.8
Italy,2014,Pollution,60.4
Italy,2014,Purchasing Power,75.4
Italy,2014,Quality of Life,90.6
Italy,2014,Traffic Commute Time,38.0
Italy,2015,Cost of Living,82.7
Italy,2015,Pollution,57.7
Italy,2015,Purchasing Power,79.4
Italy,2015,Quality of Life,101.0
Italy,2015,Traffic Commute Time,35.9
Italy,2016,Cost of Living,68.8
Italy,2016,Pollution,56.6
Italy,2016,Purchasing Power,105.7
Italy,2016,Quality of Life,159.3
Italy,2016,Traffic Commute Time,36.5
Italy,2017,Cost of Living,83.7
Italy,2017,Pollution,51.6
Italy,2017,Purchasing Power,71.8
Italy,2017,Quality of Life,142.5
Italy,2017,Traffic Commute Time,36.4
Italy,2018,Cost of Living,79.1
Italy,2018,Pollution,53.1
Italy,2018,Purchasing Power,81.1
Italy,2018,Quality of Life,146.1
Italy,2018,Traffic Commute Time,37.0
Italy,2019,Cost of Living,69.2
Italy,2019,Pollution,53.8
Italy,2019,Purchasing Power,77.5
Italy,2019,Quality of Life,145.7
Italy,2019,Traffic Commute Time,34.7
Italy,2020,Cost of Living,67.3
Italy,2020,Pollution,55.6
Italy,2020,Purchasing Power,65.6
Italy,2020,Quality of Life,140.8
Italy,2020,Traffic Commute Time,34.4
Italy,2021,Cost of Living,73.1
Italy,2021,Pollution,53.9
Italy,2021,Purchasing Power,58.7
Italy,2021,Quality of Life,138.6
Italy,2021,Traffic Commute Time,34.2
Italy,2022,Cost of Living,66.5
Italy,2022,Pollution,54.1
Italy,2022,Purchasing Power,61.7
Italy,2022,Quality of Life,141.1
Italy,2022,Traffic Commute Time,33.8
Latvia,2014,Cost of Living,55.7
Latvia,2014,Pollution,44.2
Latvia,2014,Purchasing Power,45.9
Latvia,2014,Quality of Life,98.1
Latvia,2014,Traffic Commute Time,24.1
Latvia,2015,Cost of Living,55.9
Latvia,2015,Pollution,43.4
Latvia,2015,Purchasing Power,44.4
Latvia,2015,Quality of Life,99.0
Latvia,2015,Traffic Commute Time,24.0
Latvia,2016,Cost of Living,53.9
Latvia,2016,Pollution,41.0
Latvia,2016,Purchasing Power,47.4
Latvia,2016,Quality of Life,113.4
Latvia,2016,Traffic Commute Time,26.3
Latvia,2017,Cost of Living,53.0
Latvia,2017,Pollution,39.5
Latvia,2017,Purchasing Power,48.1
Latvia,2017,Quality of Life,121.0
Latvia,2017,Traffic Commute Time,27.5
Latvia,2018,Cost of Living,52.1
Latvia,2018,Pollution,37.9
Latvia,2018,Purchasing Power,48.9
Latvia,2018,Quality of Life,128.6
Latvia,2018,Traffic Commute Time,28.6
Latvia,2019,Cost of Living,49.2
Latvia,2019,Pollution,35.0
Latvia,2019,Purchasing Power,55.2
Latvia,2019,Quality of Life,149.2
Latvia,2019,Traffic Commute Time,31.4
Latvia,2020,Cost of Living,47.9
Latvia,2020,Pollution,33.7
Latvia,2020,Purchasing Power,52.5
Latvia,2020,Quality of Life,150.0
Latvia,2020,Traffic Commute Time,32.9
Latvia,2021,Cost of Living,52.9
Latvia,2021,Pollution,33.9
Latvia,2021,Purchasing Power,45.9
Latvia,2021,Quality of Life,147.6
Latvia,2021,Traffic Commute Time,31.2
Latvia,2022,Cost of Living,48.5
Latvia,2022,Pollution,32.7
Latvia,2022,Purchasing Power,51.6
Latvia,2022,Quality of Life,150.8
Latvia,2022,Traffic Commute Time,31.2
Lithuania,2014,Cost of Living,60.0
Lithuania,2014,Pollution,21.1
Lithuania,2014,Purchasing Power,43.2
Lithuania,2014,Quality of Life,121.9
Lithuania,2014,Traffic Commute Time,22.0
Lithuania,2015,Cost of Living,52.8
Lithuania,2015,Pollution,29.6
Lithuania,2015,Purchasing Power,46.9
Lithuania,2015,Quality of Life,112.9
Lithuania,2015,Traffic Commute Time,31.3
